,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
1237,26.8,98.6,0.9,21.6,34.8,12.9,2.0,6.6,712
1238,30.1,75.1,20.5,33.4,28.2,5.4,1.44,6.2,648
1239,22.3,65.7,1.0,5.7,26.8,3.5,0.91,13.3,282
1240,28.0,86.9,7.1,16.5,19.6,7.8,1.77,5.7,665
1241,35.4,75.0,10.0,18.8,24.0,13.6,1.5,6.2,390
1242,36.0,75.3,43.4,59.5,35.1,22.1,1.97,3.6,468
1243,27.1,74.1,4.7,8.7,25.3,5.9,1.0,13.5,555
1244,24.9,66.0,5.4,7.5,25.0,0.7,1.09,10.9,263
1245,23.2,69.7,5.8,14.1,24.6,3.5,0.97,12.3,579
1249,33.5,82.9,21.9,45.6,37.1,20.9,1.72,4.7,591
1250,27.7,83.6,3.8,19.9,32.9,17.8,2.09,5.3,632
1251,38.6,111.4,9.9,20.0,36.3,22.5,1.74,7.5,591
1252,24.1,72.6,27.7,36.5,35.3,6.5,1.95,8.4,493
1253,26.8,60.2,4.4,10.1,25.7,4.5,1.29,12.6,234
1255,18.5,57.3,7.7,11.1,22.8,4.7,1.1,10.2,600
1256,30.3,69.4,41.8,51.2,22.5,5.8,1.57,6.1,434
1257,23.8,44.4,7.5,11.9,23.1,3.1,0.9,11.5,602
1260,26.5,51.7,0.7,5.3,10.7,7.1,1.05,10.2,555
1261,33.4,52.7,53.5,63.4,26.5,10.0,1.32,12.4,329
1262,31.6,100.3,6.4,21.2,43.5,14.5,1.79,8.1,558
1264,39.1,66.8,9.7,21.2,34.1,5.4,2.33,6.6,679
1265,22.4,42.8,1.1,8.7,15.2,7.0,1.03,12.1,216
1266,27.2,46.3,14.8,18.8,19.7,7.3,1.05,10.8,496
1267,30.1,91.0,32.1,38.5,23.7,10.6,1.44,6.0,363
1268,32.8,58.9,30.1,52.0,33.6,22.4,1.73,3.4,476
1270,22.6,43.5,21.0,24.9,24.5,4.8,0.99,10.0,284
1271,25.4,71.8,1.8,11.8,21.3,10.2,1.33,7.2,506
1273,29.9,51.4,2.8,14.2,23.7,10.0,1.43,9.0,321
1275,42.5,80.9,33.3,44.4,34.1,11.1,2.28,4.2,682
1277,36.6,109.9,0.4,16.4,39.9,13.0,1.57,5.9,690
1279,29.7,72.2,9.0,10.4,19.6,5.6,1.09,10.6,409
1280,29.9,84.5,11.5,24.0,22.2,7.7,1.69,5.1,424
1281,22.8,52.5,10.8,16.0,15.5,9.5,1.07,11.2,489
1282,35.9,69.9,6.2,17.2,34.0,12.5,2.18,7.0,447
1283,30.6,41.9,7.0,11.5,17.0,6.5,1.12,11.3,486
1284,35.2,85.5,0.5,12.4,30.8,12.2,1.91,6.9,318
1285,20.6,60.3,33.8,38.3,19.9,1.1,1.07,10.1,207
1286,22.5,40.7,26.5,31.8,26.4,7.0,1.18,10.9,452
1287,26.8,75.7,16.6,23.9,21.0,1.6,1.01,11.4,390
1289,25.1,42.6,12.3,20.1,25.0,6.3,1.08,13.7,455
1290,36.2,63.6,16.1,27.3,23.4,9.6,1.73,7.6,574
1291,35.4,78.9,3.9,15.7,33.5,15.8,1.97,4.9,695
1292,40.3,66.1,11.8,21.0,43.4,15.8,2.02,6.2,824
1293,22.7,89.6,19.5,35.4,27.0,10.8,1.37,6.3,632
1294,32.7,93.0,12.6,23.5,23.5,0.8,1.51,6.0,598
1295,33.3,73.1,21.6,33.1,44.5,7.4,1.98,8.8,723
1296,28.0,65.5,0.3,7.1,11.8,5.9,1.12,14.3,337
1297,29.1,76.2,2.0,7.3,20.3,5.4,0.98,17.9,404
1298,25.9,59.9,2.4,6.1,31.7,13.9,1.47,5.8,388
1299,42.0,77.9,9.5,31.0,37.6,17.0,2.38,12.0,484
1300,32.9,63.1,12.1,17.5,24.7,12.3,1.57,5.1,467
1301,29.8,85.5,6.2,15.4,34.0,4.5,1.34,11.3,405
1302,32.0,88.8,4.7,13.5,29.4,11.5,1.62,7.9,604
1306,26.2,52.6,11.3,11.5,29.3,14.6,1.55,7.3,397
1307,26.1,54.5,1.5,5.8,17.2,3.1,0.98,17.9,327
1308,19.1,64.9,2.5,10.5,26.0,6.0,1.08,10.4,368
1309,34.1,72.9,2.2,15.6,33.6,4.9,1.43,5.6,526
1310,23.2,88.9,55.5,60.9,31.4,13.1,1.19,5.5,351
1311,27.6,79.3,14.0,40.2,37.6,10.6,2.24,3.6,608
1312,19.5,42.7,3.8,8.6,23.8,1.7,1.06,10.4,390
1313,31.2,54.0,16.4,22.8,23.0,3.9,1.59,9.4,492
1314,31.5,53.9,2.5,10.8,29.9,12.7,1.58,5.3,395
1316,27.7,81.8,1.1,8.9,26.5,20.1,1.33,5.2,317
1317,24.6,52.4,4.1,18.1,27.0,14.7,1.4,8.8,356
1318,36.4,107.9,16.4,32.0,25.7,14.7,2.03,3.6,686
1319,31.2,54.1,8.2,15.0,16.3,4.6,0.88,14.8,531
1321,27.4,76.3,10.4,14.1,10.3,5.4,0.91,10.3,328
1323,26.5,41.4,6.8,11.8,26.6,6.4,0.88,12.4,383
1324,25.0,63.5,24.7,27.0,16.1,2.0,0.91,15.9,407
1326,26.5,79.2,51.0,58.8,22.3,12.0,1.54,5.2,344
1327,36.0,75.2,4.7,10.5,33.5,0.4,1.72,6.5,336
1328,23.6,76.1,1.2,5.8,25.8,4.5,1.01,10.2,306
1329,26.7,48.8,19.7,23.8,31.8,5.3,1.27,5.3,538
1331,31.6,105.9,0.4,15.7,38.4,11.9,1.34,6.5,421
1332,21.8,43.3,1.3,5.1,19.8,8.0,0.84,10.6,451
1333,29.4,56.0,24.3,41.9,30.5,5.3,1.64,12.5,375
1334,34.6,86.1,17.8,28.9,37.4,10.2,1.44,6.4,414
1335,30.5,62.3,13.3,18.8,19.7,5.2,1.01,11.4,495
1338,24.4,59.3,8.9,15.7,26.4,6.6,0.94,10.4,576
1339,22.6,54.6,20.7,25.1,14.1,4.0,1.04,16.1,429
1340,25.6,87.4,23.6,32.3,29.2,3.1,1.59,6.2,582
1341,24.6,71.2,21.1,41.7,27.0,17.7,1.93,3.4,528
1342,42.2,83.4,40.3,49.7,36.8,15.8,1.39,3.5,766
1343,28.3,82.7,11.7,19.7,28.6,14.5,1.27,5.2,430
1345,24.4,66.2,2.9,8.6,20.8,5.6,0.93,13.1,467
1346,20.3,63.0,21.7,24.1,16.5,4.3,0.89,17.1,191
1347,21.3,48.3,2.4,5.8,15.5,6.3,1.08,10.5,296
1348,28.4,44.5,8.7,16.6,25.0,0.9,1.03,10.3,208
1349,22.2,43.1,5.1,9.0,15.7,3.2,1.0,10.7,377
1350,31.3,73.8,33.8,46.6,31.0,22.8,1.92,4.6,681
1351,26.3,74.5,12.7,18.3,21.1,1.1,1.01,13.1,365
1353,27.8,75.4,6.0,14.4,16.8,12.8,1.47,5.7,539
1354,32.3,80.6,11.0,17.6,25.8,3.1,1.26,6.7,670
1355,26.0,66.5,1.7,5.4,20.2,5.8,1.0,10.2,399
1356,23.5,60.1,0.4,7.2,17.2,6.1,1.02,10.1,384
1357,25.7,67.7,43.0,52.4,22.5,7.2,1.35,6.0,415
1358,24.0,45.3,20.8,25.7,12.9,3.6,0.77,13.4,346
1359,31.8,80.1,5.6,7.6,24.4,16.6,1.56,10.4,679
1360,33.2,90.6,42.9,57.2,22.4,13.0,2.44,7.5,497
1361,27.4,73.5,17.1,22.1,15.7,8.3,0.92,12.0,572
1362,35.1,82.5,3.8,13.0,45.4,3.9,2.24,3.7,703
1363,33.1,61.0,27.7,39.2,25.8,10.2,1.84,4.8,448
1364,22.9,50.0,19.2,23.4,18.8,6.0,0.95,12.2,225
1366,23.9,65.3,26.1,33.5,22.3,1.4,1.03,12.6,499
1369,23.1,60.1,1.5,8.0,19.3,6.3,1.08,13.3,340
1370,26.9,53.5,20.0,28.4,29.5,5.3,1.36,8.5,313
1371,28.7,77.3,23.1,24.7,12.1,7.6,1.02,10.7,577
1372,31.0,71.4,4.3,10.3,19.5,7.9,0.99,11.1,212
1373,32.8,73.6,18.6,39.5,21.4,12.2,2.21,4.4,590
1374,22.4,57.3,5.8,9.6,23.6,4.3,1.08,11.0,595
1375,27.2,52.7,7.4,13.9,22.2,5.4,0.94,11.4,577
1376,26.6,64.1,3.0,11.3,26.8,3.7,0.95,11.1,550
1377,22.9,52.6,7.6,15.3,26.3,4.4,0.99,11.1,517
1378,30.7,71.1,26.1,34.5,19.0,3.2,0.78,11.3,512
1379,20.2,40.4,3.6,13.5,20.5,5.4,1.03,11.9,475
1380,26.2,80.8,10.2,16.3,13.9,3.2,0.86,12.0,328
1381,25.4,73.2,28.7,35.4,12.3,6.0,1.13,10.1,371
1382,33.4,59.9,33.0,41.0,25.4,10.8,1.64,7.0,406
1383,26.7,41.7,13.2,18.9,18.9,6.3,0.9,12.3,550
1384,34.5,71.4,29.5,52.6,37.9,17.1,2.09,3.9,744
1385,40.5,70.4,35.8,44.7,22.2,9.7,1.33,5.5,398
1388,26.7,85.4,4.9,11.9,26.3,19.4,2.22,5.2,421
1391,26.5,78.9,6.3,18.5,34.9,11.6,1.95,5.0,555
1392,23.2,40.3,2.3,8.9,19.5,5.7,0.89,11.1,255
1393,33.6,48.8,19.2,27.3,17.1,4.3,1.04,11.1,267
1394,27.0,67.8,24.8,28.9,12.9,3.9,1.1,14.7,559
1395,41.9,90.1,26.6,50.7,46.3,18.2,2.38,5.1,531
1396,29.9,78.6,25.1,30.1,26.5,7.2,1.49,7.3,323
1397,26.4,76.0,16.0,32.9,31.8,10.6,2.15,4.8,548
1398,32.6,71.9,48.0,60.0,30.8,6.8,2.0,5.0,388
1399,16.7,52.9,0.0,7.3,19.9,6.9,0.95,11.0,229
1400,21.5,59.9,4.1,5.5,15.1,7.1,0.97,11.8,365
1401,29.9,54.2,24.6,38.5,30.9,14.1,1.67,7.0,359
1402,30.6,47.9,14.4,18.8,16.1,2.4,1.05,12.4,386
1403,29.2,77.7,35.4,36.1,37.1,17.9,2.24,6.6,571
1404,29.4,42.7,1.7,7.8,19.1,4.5,0.84,13.4,228
1405,33.3,66.3,13.6,25.8,19.3,12.9,1.41,8.4,460
1406,28.9,53.4,5.4,22.0,26.2,18.6,1.44,6.7,449
1408,28.7,67.4,11.0,15.2,19.2,8.3,1.13,10.3,481
1409,35.3,65.3,25.6,36.8,19.2,6.0,1.57,5.5,576
1410,27.9,48.1,1.3,14.6,32.5,0.9,1.55,7.0,449
1411,24.1,74.7,5.1,12.1,10.5,6.4,1.07,11.0,454
1413,30.4,78.9,17.5,30.8,26.1,7.9,1.39,6.3,608
1414,26.8,67.2,7.9,17.1,25.1,6.7,0.99,11.9,547
1415,28.6,83.1,19.9,29.1,35.8,12.3,1.93,7.4,674
1416,25.8,62.6,11.7,16.7,10.0,6.6,1.01,15.8,413
1417,28.9,49.8,0.3,1.5,20.5,8.5,1.13,11.4,485
1420,21.0,93.8,6.3,19.4,37.5,13.6,2.18,3.9,669
1421,31.3,84.7,35.5,42.0,17.9,11.1,1.23,5.6,509
1422,23.0,48.9,0.5,8.8,20.2,4.5,1.08,11.9,496
1424,29.6,46.2,0.8,4.4,26.8,3.6,1.03,11.9,300
1426,41.2,85.9,3.4,21.2,39.6,8.4,2.27,3.5,689
1427,29.1,41.5,0.9,4.8,18.7,3.4,1.02,12.6,337
1428,26.7,53.8,6.9,21.8,25.3,7.7,1.59,6.4,295
1429,29.7,69.0,18.0,26.3,28.9,9.8,1.58,5.4,674
1430,29.5,69.8,5.9,21.1,27.6,18.9,1.82,3.6,694
1432,31.6,77.8,12.3,18.1,31.8,8.9,1.72,3.8,590
1433,29.5,67.3,5.1,11.7,20.5,3.6,1.11,11.2,379
1435,28.7,63.9,13.5,25.3,16.2,10.9,1.17,6.3,478
1436,26.4,51.1,0.7,3.6,27.8,9.6,1.09,10.9,281
1437,37.0,100.4,19.8,34.2,32.7,15.8,2.18,3.9,745
1438,32.2,84.1,4.3,13.3,20.1,12.6,1.38,6.7,401
1439,22.9,50.1,7.0,13.7,12.1,8.4,1.09,13.6,589
1442,35.7,82.0,40.5,57.9,25.3,13.6,2.14,7.7,614
1443,32.2,70.0,3.5,10.2,25.4,19.3,2.59,3.9,735
1444,35.6,57.6,19.4,33.5,35.1,10.0,1.57,5.1,424
1445,23.4,54.7,4.0,12.3,24.1,2.8,0.87,10.2,433
1446,24.8,80.3,9.2,14.0,12.2,4.8,0.9,11.1,277
1447,31.3,75.0,37.8,47.1,32.6,11.0,1.87,5.6,451
1448,27.2,42.8,12.5,15.0,14.6,3.3,1.1,10.9,284
1449,26.2,64.2,1.9,6.6,19.7,6.2,1.05,13.8,369
1451,33.8,71.4,35.9,59.1,36.1,15.0,1.74,3.6,619
1452,34.6,80.3,8.6,29.2,31.5,7.4,1.28,9.5,326
1453,34.6,71.6,21.7,37.5,30.7,16.4,2.18,4.1,754
1454,27.4,78.0,5.0,21.9,33.8,16.5,1.57,5.6,468
1455,26.8,42.1,5.4,11.7,20.1,4.5,0.85,13.1,276
1456,33.2,72.0,4.1,16.3,24.8,6.6,2.02,5.9,662
1458,16.0,64.1,13.4,18.9,24.4,2.0,1.0,12.2,487
1459,30.9,73.7,5.5,10.2,32.5,2.3,1.83,6.9,653
1460,35.0,80.2,11.9,24.4,30.4,14.1,1.71,4.5,617
1461,31.2,86.3,39.3,52.8,16.8,9.9,1.73,5.9,571
1463,25.4,74.2,40.6,46.1,19.7,9.9,1.32,6.1,459
1464,38.5,83.8,19.5,31.0,28.0,14.3,2.22,7.3,443
1465,30.9,89.0,7.3,30.9,37.3,6.8,2.21,4.4,660
1467,23.2,86.5,3.1,21.4,22.3,15.0,1.56,7.3,601
1468,38.9,77.5,5.2,25.6,43.7,15.4,2.32,4.2,610
1469,32.8,63.6,33.1,54.9,33.0,19.6,1.48,4.7,655
1471,30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416
1472,26.6,66.0,2.2,3.7,27.7,11.7,1.63,6.6,395
1474,26.0,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546
1475,33.0,47.0,16.4,23.0,26.3,4.9,1.22,9.8,655
1476,17.7,75.2,3.5,8.0,18.6,2.0,1.04,13.0,593
1480,25.3,73.8,6.5,19.1,32.4,12.6,1.2,5.5,419
1481,18.9,63.2,6.2,8.0,13.9,5.0,1.09,10.3,410
1482,28.2,73.5,3.8,14.8,24.8,11.1,1.11,7.0,577
1483,34.3,102.4,38.8,58.4,40.4,12.8,2.09,2.7,811
1484,27.8,56.7,6.7,18.0,26.9,6.1,1.64,6.1,371
1485,26.7,52.8,27.3,31.8,15.6,1.9,0.89,11.9,318
1486,38.2,110.1,0.1,12.5,41.7,15.8,1.98,6.2,709
1487,27.8,79.0,16.6,24.0,25.5,5.2,1.06,10.3,359
1488,22.1,41.0,14.8,20.3,12.8,4.9,1.18,15.0,217
1489,22.9,57.4,15.9,22.8,20.6,7.5,0.91,10.4,336
1490,21.9,45.1,13.9,15.3,26.3,1.4,0.92,11.4,262
1491,22.7,68.4,14.6,25.8,26.5,3.0,1.37,5.4,321
1492,22.4,69.0,9.2,12.2,18.7,4.0,1.15,12.8,245
1493,26.1,61.7,5.3,8.6,19.5,9.1,1.07,15.4,381
1494,23.9,62.9,8.9,17.3,17.4,4.5,0.93,13.6,494
1495,24.6,62.7,13.5,17.9,29.4,7.9,1.51,6.2,510
1496,25.4,80.0,3.5,11.4,24.1,8.9,1.03,13.7,373
1497,25.5,63.8,2.2,4.3,24.9,4.7,1.1,13.4,459
1498,27.8,42.1,1.5,5.3,13.5,3.8,1.09,10.8,527
1499,28.2,61.2,1.2,10.9,22.7,7.1,1.86,8.6,501
1502,30.4,51.1,1.2,8.0,17.1,4.7,1.0,11.6,576
1505,24.0,43.4,5.4,9.5,15.8,1.7,0.98,11.0,441
1506,28.2,62.7,0.1,7.5,17.4,4.7,0.87,12.0,528
1507,31.2,62.3,0.9,8.7,20.4,15.0,1.49,8.6,599
1508,33.2,57.3,6.3,20.3,31.2,5.8,1.69,8.2,316
1509,43.4,78.1,37.0,52.3,44.6,16.0,2.03,2.5,799
1510,36.0,89.8,33.0,47.9,26.0,-0.1,1.74,4.3,490
1511,33.1,57.8,17.2,33.0,28.3,9.2,1.38,5.2,642
1512,34.4,94.5,25.5,48.8,26.3,9.9,1.47,9.3,457
1513,23.1,39.7,23.4,27.8,20.4,9.6,1.06,10.5,314
1514,23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313
1516,35.8,80.0,37.1,44.5,38.0,14.8,2.03,3.5,538
1517,32.0,89.4,3.6,17.4,21.8,15.8,1.34,5.4,325
1518,23.8,79.3,9.2,10.6,22.5,5.5,1.05,12.3,544
1520,27.0,73.6,0.9,3.1,13.9,4.4,1.2,10.2,488
1521,35.3,70.3,27.3,31.9,27.4,11.1,1.75,9.3,635
1522,25.8,68.3,12.6,19.0,13.0,6.6,1.09,11.2,310
1523,22.3,66.1,11.3,15.4,26.8,14.1,1.32,5.5,497
1524,36.7,44.6,2.4,5.8,28.8,18.1,1.63,8.7,502
1525,31.4,81.3,12.3,15.1,31.7,11.9,1.44,5.5,447
1526,22.5,56.1,27.4,33.8,19.0,5.4,0.87,16.6,492
1528,31.3,71.5,20.2,28.6,21.6,4.4,1.02,13.7,306
1530,28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604
1532,28.7,69.0,19.1,33.7,19.4,11.0,1.24,9.7,589
1533,18.0,43.2,5.4,10.0,16.4,2.2,1.07,14.5,571
1534,27.6,51.3,6.0,12.7,32.6,6.4,1.44,5.1,386
1535,26.6,49.0,8.9,12.6,15.1,0.3,0.79,11.8,337
1536,28.7,55.1,20.5,23.6,17.3,2.6,0.86,11.9,347
1537,30.3,58.1,1.8,13.5,29.6,6.5,1.54,8.5,524
1538,20.6,88.6,47.9,57.9,28.9,12.3,1.94,5.4,412
1539,23.5,62.3,6.9,13.9,18.3,4.1,0.92,11.4,196
1540,26.6,56.1,1.6,4.6,23.2,4.4,0.87,10.2,322
1541,36.6,93.3,46.6,54.0,29.8,19.6,2.12,4.7,624
1542,29.2,73.0,26.4,30.5,9.3,4.1,1.14,11.2,350
1543,31.9,70.7,20.2,28.7,29.2,9.7,1.39,6.4,689
1544,23.1,50.9,6.1,9.2,14.0,8.3,0.87,11.0,287
1545,20.9,62.3,7.4,11.1,20.6,3.0,0.96,13.1,295
1546,39.8,108.4,30.3,39.3,32.2,21.5,2.03,3.0,572
1547,30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574
1549,26.7,77.8,4.8,10.4,20.8,6.4,1.05,15.3,294
1550,34.7,87.7,44.8,46.0,35.8,11.9,2.11,4.5,473
1551,34.8,70.4,28.9,46.6,35.7,14.4,1.61,4.1,805
1552,31.8,67.6,9.8,15.1,29.2,2.1,1.64,6.7,454
1555,23.6,72.6,1.1,4.7,14.0,4.0,1.12,13.0,300
1556,29.1,58.0,8.9,13.8,14.6,5.1,0.97,11.3,582
1558,21.4,65.3,9.9,12.7,25.5,2.5,1.01,11.7,295
1559,29.2,54.0,4.7,17.1,37.9,18.2,1.75,7.4,543
1560,29.9,69.7,4.0,13.5,25.5,10.5,1.52,11.8,668
1561,25.1,43.3,23.0,28.6,24.2,3.9,1.01,16.0,392
1562,23.2,44.4,4.2,10.9,15.6,8.9,0.86,10.2,289
1563,23.3,71.1,23.0,39.0,29.5,11.6,1.21,15.6,404
1565,35.0,92.4,7.4,29.0,25.0,17.9,2.16,6.8,718
1566,31.3,75.9,2.7,9.3,29.5,10.7,1.17,5.1,697
1567,31.5,67.6,33.4,46.2,22.8,0.7,2.07,5.4,446
1568,35.7,99.9,20.2,33.8,37.7,18.5,2.08,7.1,599
1569,37.3,68.2,4.3,20.8,40.3,20.0,2.01,5.4,681
1570,21.9,68.0,32.0,37.2,25.5,1.8,1.14,12.3,211
1571,24.9,47.4,26.1,32.3,11.3,9.8,0.89,17.5,266
1572,33.2,59.6,11.5,15.6,23.6,6.4,1.25,5.6,463
1573,25.1,81.3,11.9,21.9,33.8,8.1,1.48,13.9,625
1574,27.6,62.5,8.7,16.0,18.4,3.7,1.02,10.4,235
1575,26.8,50.9,17.8,25.3,21.3,3.2,0.98,11.5,346
1576,37.5,95.7,6.1,28.0,32.9,20.7,1.73,8.9,802
1577,26.7,77.3,27.1,33.3,24.1,2.5,1.12,10.3,501
1578,23.9,79.8,35.5,48.2,25.8,11.1,1.77,8.8,441
1580,26.2,85.9,48.1,60.2,19.8,9.0,1.56,7.1,286
1581,26.9,74.7,2.7,10.7,25.6,4.3,0.99,10.2,271
1582,37.4,77.5,14.6,21.9,28.2,6.5,1.09,5.8,642
1583,26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577
1586,19.6,74.7,1.0,4.6,22.9,4.1,0.94,10.4,388
1587,27.0,66.2,6.3,9.7,13.4,4.6,1.0,13.3,299
1588,33.8,68.4,24.4,30.4,25.6,7.7,1.26,5.4,599
1589,24.7,55.9,18.5,23.2,18.6,2.7,0.94,10.5,365
1590,21.7,76.4,20.8,25.5,20.9,2.8,0.95,10.1,506
1591,24.6,77.2,6.5,11.2,24.4,5.4,0.65,11.4,573
1592,26.5,45.3,9.4,15.0,13.1,0.4,0.99,11.0,224
1593,22.1,53.8,6.9,19.6,18.8,5.7,1.65,9.6,457
1595,28.4,65.8,10.9,22.2,27.5,11.9,1.7,6.1,524
1596,32.6,78.3,4.6,24.6,25.8,21.2,1.97,5.9,540
1598,25.4,75.3,0.7,2.9,23.3,7.3,0.85,17.0,325
1600,23.3,70.8,23.7,36.1,23.5,8.4,1.43,7.6,450
1601,26.1,78.1,6.2,11.5,13.0,5.3,0.88,15.8,585
1602,32.2,81.3,3.9,15.4,46.5,20.9,2.03,3.1,705
1603,32.0,62.5,0.1,5.1,20.2,4.6,0.89,10.2,201
1604,31.2,77.6,12.1,15.2,26.6,4.5,0.91,10.3,410
1605,22.6,72.0,40.4,46.2,14.6,4.5,1.04,14.8,270
1606,17.5,45.0,21.2,25.9,14.3,5.3,0.78,12.1,492
1607,47.1,104.3,0.7,3.4,34.4,5.9,2.34,3.3,844
1608,23.7,73.0,16.4,21.4,21.7,9.5,1.66,6.0,386
1609,23.5,60.8,10.3,14.3,12.8,1.7,0.98,10.6,208
1611,47.3,64.8,2.5,21.8,41.0,17.3,1.95,2.6,779
1612,34.0,83.2,19.3,39.1,45.1,21.0,2.28,9.9,496
1613,22.9,63.8,2.9,9.4,16.7,0.4,0.98,10.7,593
1614,38.4,66.6,15.2,36.5,39.2,14.5,1.86,4.2,497
1615,28.8,64.9,16.7,27.9,11.7,5.6,0.85,10.9,562
1616,35.0,76.4,20.3,28.2,19.9,11.2,1.68,6.6,430
1617,31.4,73.5,3.8,11.4,30.4,2.5,1.69,8.8,618
1618,17.4,43.7,10.8,17.5,25.0,1.5,0.83,10.2,515
1619,25.5,60.7,9.2,17.3,22.8,6.3,1.05,10.2,421
1620,25.5,59.6,5.6,12.0,11.6,7.6,1.01,12.4,582
1621,39.8,84.9,33.8,51.8,29.2,15.9,1.92,7.6,559
1622,35.0,71.5,10.2,18.8,28.7,11.4,1.46,5.4,443
1623,27.7,72.3,40.7,52.1,16.5,6.3,0.98,10.1,338
1624,23.2,74.7,2.6,14.7,21.1,1.6,1.3,5.5,449
1625,22.1,49.1,11.2,13.8,25.3,6.8,0.72,12.5,448
1626,19.6,59.7,10.2,18.3,23.2,0.9,1.03,10.7,238
1627,29.7,63.0,25.6,27.1,16.0,5.1,1.06,11.6,471
1628,26.3,79.9,3.0,8.1,14.6,9.1,1.02,11.4,347
1629,27.1,56.4,52.6,60.5,26.8,7.7,1.33,11.9,428
1631,29.0,88.6,13.2,33.7,36.1,13.1,2.32,4.4,706
1632,28.2,87.5,2.8,10.6,27.0,8.3,1.77,5.0,538
1633,41.0,60.0,46.3,58.9,38.9,19.7,1.45,7.2,418
1634,34.3,48.9,18.1,27.7,29.2,5.4,1.65,5.6,304
1635,32.3,87.5,1.1,5.4,23.1,8.7,1.52,8.3,343
1636,27.3,79.7,3.5,7.7,27.5,5.4,1.05,11.3,285
1637,22.9,62.2,18.8,26.5,29.4,4.7,1.23,8.0,536
1638,22.3,68.9,9.3,14.7,17.2,3.5,0.97,10.8,373
1639,21.1,60.1,1.8,11.2,22.0,2.3,1.04,15.1,478
1640,32.2,77.3,6.3,18.6,17.3,13.3,1.6,8.4,454
1641,24.5,59.8,5.2,11.3,25.9,7.5,1.15,17.2,205
1642,25.8,77.8,3.3,9.3,19.5,6.3,1.27,13.3,343
1643,21.3,70.4,11.7,16.8,25.4,0.4,0.84,10.9,486
1644,30.8,69.0,8.1,21.3,17.8,8.0,1.37,5.6,635
1645,20.4,59.3,0.4,4.2,23.4,4.3,1.0,11.3,219
1647,19.5,48.2,1.0,7.4,18.7,6.8,0.92,10.7,305
1648,29.5,41.5,4.7,8.7,21.5,1.8,1.09,10.3,210
1649,25.2,43.9,0.4,4.9,12.3,4.8,1.08,12.7,471
1651,24.9,70.5,0.2,5.9,12.5,6.9,1.07,11.9,240
1652,28.9,65.5,1.2,4.7,24.0,3.7,1.02,10.6,534
1653,21.9,71.2,5.1,10.4,17.1,3.8,0.95,10.4,208
1654,22.6,47.3,1.8,9.0,22.5,5.0,1.17,11.2,433
1655,35.2,51.3,0.5,16.0,36.2,11.6,1.59,5.3,694
1656,35.9,70.8,30.1,48.9,35.1,10.2,1.86,4.0,671
1657,24.2,62.7,4.5,8.5,22.3,0.3,0.99,10.3,555
1659,35.0,57.4,0.7,5.1,25.3,16.0,1.42,5.3,441
1661,24.0,42.5,9.9,14.9,25.9,3.9,0.91,10.6,310
1662,43.5,89.6,20.9,46.8,41.5,14.2,2.31,5.0,594
1663,21.7,75.0,10.3,15.5,13.4,4.5,1.15,13.3,285
1664,17.6,77.1,20.0,24.3,22.6,5.2,0.99,12.2,487
1665,30.9,49.5,0.3,5.5,20.1,3.5,0.93,11.0,237
1667,25.1,56.1,4.2,10.2,21.7,8.7,0.98,14.3,266
1668,23.5,54.8,2.3,9.1,15.4,5.7,1.06,11.8,325
1669,30.0,61.7,0.1,15.6,19.2,8.0,1.83,5.3,529
1671,33.8,68.0,41.8,47.8,34.5,9.3,1.37,5.9,652
1672,31.0,46.3,12.4,31.1,30.1,19.2,1.31,8.0,484
1673,33.4,76.3,3.2,7.9,23.7,3.8,1.89,8.2,388
1674,32.9,102.4,26.6,41.3,26.6,15.7,1.86,5.4,394
1675,31.0,53.4,5.7,13.7,36.4,9.1,1.51,8.4,671
1676,35.4,85.1,18.4,25.0,25.3,6.5,1.56,5.3,425
1677,26.9,72.5,17.1,37.3,26.9,5.2,1.52,5.4,479
1678,23.0,43.6,1.7,7.5,24.5,5.9,0.88,10.5,317
1679,40.5,87.4,11.0,17.9,19.4,15.2,1.44,9.4,476
1680,26.8,47.4,8.7,14.2,14.3,3.6,1.08,10.9,344
1684,33.8,92.2,18.0,41.1,25.2,15.7,2.11,3.7,407
1686,29.4,64.6,13.7,29.0,27.6,13.0,1.83,5.0,722
1687,21.7,42.4,13.3,17.0,17.8,7.4,1.09,11.0,239
1688,24.4,54.0,2.2,5.3,27.9,5.3,1.05,10.6,431
1689,27.6,84.1,0.8,12.4,26.5,13.1,1.55,7.4,668
1690,30.4,67.5,16.5,21.0,43.4,15.4,1.97,9.6,502
1691,27.7,62.9,17.5,24.0,22.5,18.1,1.56,6.0,495
1692,23.3,48.1,32.0,35.7,23.1,1.1,0.93,10.6,321
1693,21.1,54.2,49.3,59.1,30.7,9.9,1.5,6.9,660
1694,25.4,44.4,0.4,7.0,22.9,3.7,1.16,10.3,451
1695,29.5,54.8,6.7,15.1,14.0,6.6,0.78,11.9,315
